--- DETAILED CP DISTRIBUTIONS (CAPTURED ANGLES) ---
Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Radius 2.0mm,-5.0,0.436363,-0.189801,-0.187671,0.000000
Radius 2.0mm,-5.0,0.426638,-0.193513,-0.189077,0.000000
Radius 2.0mm,-5.0,0.416942,-0.197130,-0.189546,0.000000
Radius 2.0mm,-5.0,0.407278,-0.200644,-0.187430,0.000000
Radius 2.0mm,-5.0,0.397650,-0.204047,-0.173471,0.000000
Radius 2.0mm,-5.0,0.388061,-0.207329,-0.207486,-0.238714
Radius 2.0mm,-5.0,0.378516,-0.210481,-0.242010,0.000000
Radius 2.0mm,-5.0,0.369017,-0.213493,-0.227211,0.000000
Radius 2.0mm,-5.0,0.359569,-0.216353,-0.224238,0.000000
Radius 2.0mm,-5.0,0.350175,-0.219051,-0.223543,0.000000
Radius 2.0mm,-5.0,0.340838,-0.221575,-0.223415,0.000000
Radius 2.0mm,-5.0,0.331563,-0.223911,-0.223087,0.000000
Radius 2.0mm,-5.0,0.322353,-0.226048,-0.221586,0.000000
Radius 2.0mm,-5.0,0.313212,-0.227972,-0.214444,0.000000
Radius 2.0mm,-5.0,0.304142,-0.229668,-0.229649,-0.110583
Radius 2.0mm,-5.0,0.295148,-0.231121,-0.244803,0.000000
Radius 2.0mm,-5.0,0.286233,-0.232317,-0.236670,0.000000
Radius 2.0mm,-5.0,0.277400,-0.233237,-0.233644,0.000000
Radius 2.0mm,-5.0,0.268653,-0.233866,-0.231133,0.000000
Radius 2.0mm,-5.0,0.259996,-0.234186,-0.228057,0.000000
Radius 2.0mm,-5.0,0.251430,-0.234178,-0.223412,0.000000
Radius 2.0mm,-5.0,0.242961,-0.233822,-0.214779,0.000000
Radius 2.0mm,-5.0,0.234591,-0.233098,-0.188626,0.000000
Radius 2.0mm,-5.0,0.226323,-0.231984,-0.232479,-0.347632
Radius 2.0mm,-5.0,0.218160,-0.230457,-0.277375,0.000000
Radius 2.0mm,-5.0,0.210107,-0.228494,-0.249029,0.000000
Radius 2.0mm,-5.0,0.202165,-0.226070,-0.237972,0.000000
Radius 2.0mm,-5.0,0.194338,-0.223158,-0.230033,0.000000
Radius 2.0mm,-5.0,0.186628,-0.219729,-0.222677,0.000000
Radius 2.0mm,-5.0,0.179040,-0.215754,-0.214774,0.000000
Radius 2.0mm,-5.0,0.171575,-0.211201,-0.204911,0.000000
Radius 2.0mm,-5.0,0.164237,-0.206036,-0.186734,0.000000
Radius 2.0mm,-5.0,0.157028,-0.200223,-0.199959,-0.159398
Radius 2.0mm,-5.0,0.149951,-0.193722,-0.212890,0.000000
Radius 2.0mm,-5.0,0.143010,-0.186491,-0.192154,0.000000
Radius 2.0mm,-5.0,0.136206,-0.178485,-0.178324,0.000000
Radius 2.0mm,-5.0,0.129542,-0.169656,-0.164805,0.000000
Radius 2.0mm,-5.0,0.123021,-0.159949,-0.150032,0.000000
Radius 2.0mm,-5.0,0.116646,-0.149308,-0.132569,0.000000
Radius 2.0mm,-5.0,0.110418,-0.137669,-0.109037,0.000000
Radius 2.0mm,-5.0,0.104341,-0.124964,-0.060936,0.000000
Radius 2.0mm,-5.0,0.098416,-0.111118,-0.108075,-0.505399
Radius 2.0mm,-5.0,0.092645,-0.096049,-0.156422,0.000000
Radius 2.0mm,-5.0,0.087032,-0.079669,-0.102107,0.000000
Radius 2.0mm,-5.0,0.081578,-0.061879,-0.070719,0.000000
Radius 2.0mm,-5.0,0.076286,-0.042573,-0.042173,0.000000
Radius 2.0mm,-5.0,0.071156,-0.021635,-0.012398,0.000000
Radius 2.0mm,-5.0,0.066192,0.001061,0.021361,0.000000
Radius 2.0mm,-5.0,0.061396,0.025652,0.064518,0.000000
Radius 2.0mm,-5.0,0.056768,0.052283,0.145132,0.000000
Radius 2.0mm,-5.0,0.052311,0.081110,0.080232,-0.857547
Radius 2.0mm,-5.0,0.048027,0.112297,0.012705,0.000000
Radius 2.0mm,-5.0,0.043917,0.146012,0.106279,0.000000
Radius 2.0mm,-5.0,0.039983,0.182426,0.164180,0.000000
Radius 2.0mm,-5.0,0.036226,0.221701,0.218365,0.000000
Radius 2.0mm,-5.0,0.032648,0.263987,0.275463,0.000000
Radius 2.0mm,-5.0,0.029251,0.309404,0.340314,0.000000
Radius 2.0mm,-5.0,0.026034,0.358025,0.422997,0.000000
Radius 2.0mm,-5.0,0.023001,0.409850,0.574277,0.000000
Radius 2.0mm,-5.0,0.020151,0.464772,0.435351,-2.288163
Radius 2.0mm,-5.0,0.017486,0.522540,0.273375,0.000000
Radius 2.0mm,-5.0,0.015008,0.582703,0.463152,0.000000
Radius 2.0mm,-5.0,0.012716,0.644555,0.563214,0.000000
Radius 2.0mm,-5.0,0.010612,0.707074,0.645562,0.000000
Radius 2.0mm,-5.0,0.008697,0.768866,0.720424,0.000000
Radius 2.0mm,-5.0,0.006971,0.828127,0.789650,0.000000
Radius 2.0mm,-5.0,0.005436,0.882644,0.852560,0.000000
