--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL (Lift Coeff),0.275966,0.275872,-0.03%
CD (Drag Coeff),0.038353,0.038357,0.01%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Nx,Ny,Panel_Length,Cp_Solid,Cp_Porous,Cp_Difference,V_leakage
62,0.668437,0.059079,0.140045,0.990145,0.009335,-0.186782,-0.185922,0.000860,0.000000
63,0.659162,0.060381,0.137970,0.990436,0.009396,-0.194514,-0.193685,0.000829,0.000000
64,0.649825,0.061671,0.135851,0.990729,0.009454,-0.202293,-0.201493,0.000800,0.000000
65,0.640431,0.062949,0.133684,0.991024,0.009507,-0.210124,-0.209349,0.000775,0.000000
66,0.630983,0.064213,0.131467,0.991321,0.009557,-0.218009,-0.217258,0.000751,0.000000
67,0.621484,0.065461,0.129198,0.991619,0.009604,-0.225953,-0.225223,0.000730,0.000000
68,0.611939,0.066694,0.126874,0.991919,0.009646,-0.233958,-0.233248,0.000710,0.000000
69,0.602350,0.067908,0.124492,0.992221,0.009685,-0.242028,-0.241336,0.000692,0.000000
70,0.592722,0.069104,0.122048,0.992524,0.009720,-0.250165,-0.249490,0.000675,0.000000
71,0.583058,0.070280,0.119541,0.992829,0.009751,-0.258372,-0.257712,0.000660,0.000000
72,0.573362,0.071435,0.116966,0.993136,0.009778,-0.266652,-0.266006,0.000646,0.000000
73,0.563637,0.072567,0.114320,0.993444,0.009802,-0.275006,-0.274373,0.000633,0.000000
74,0.553889,0.073676,0.111601,0.993753,0.009821,-0.283437,-0.282815,0.000621,0.000000
75,0.544119,0.074759,0.108804,0.994063,0.009837,-0.291945,-0.291335,0.000611,0.000000
76,0.534332,0.075816,0.105927,0.994374,0.009850,-0.300534,-0.299933,0.000601,0.000000
77,0.524533,0.076845,0.102966,0.994685,0.009858,-0.309203,-0.308612,0.000591,0.000000
78,0.514723,0.077845,0.099918,0.994996,0.009862,-0.317954,-0.317371,0.000583,0.000000
79,0.504908,0.078815,0.096779,0.995306,0.009863,-0.326787,-0.326212,0.000575,0.000000
80,0.495092,0.079753,0.093544,0.995615,0.009860,-0.335702,-0.335134,0.000568,0.000000
81,0.485277,0.080659,0.090212,0.995923,0.009853,-0.344700,-0.344138,0.000562,0.000000
82,0.475467,0.081531,0.086777,0.996228,0.009843,-0.353780,-0.353223,0.000556,0.000000
83,0.465668,0.082367,0.083237,0.996530,0.009828,-0.362940,-0.362389,0.000551,0.000000
84,0.455881,0.083166,0.079588,0.996828,0.009810,-0.372181,-0.371635,0.000546,0.000000
85,0.446111,0.083928,0.075825,0.997121,0.009788,-0.381500,-0.380958,0.000542,0.000000
86,0.436363,0.084650,0.071944,0.997409,0.009763,-0.390896,-0.390357,0.000539,0.000000
87,0.426638,0.085332,0.067943,0.997689,0.009734,-0.400367,-0.399831,0.000536,0.000000
88,0.416942,0.085972,0.063817,0.997962,0.009701,-0.409909,-0.409376,0.000533,0.000000
89,0.407278,0.086569,0.059563,0.998225,0.009664,-0.419520,-0.418989,0.000531,0.000000
90,0.397650,0.087123,0.055175,0.998477,0.009624,-0.429196,-0.428667,0.000529,0.000000
91,0.388061,0.087631,0.050651,0.998716,0.009580,-0.438934,-0.438406,0.000527,0.000000
92,0.378516,0.088093,0.045987,0.998942,0.009533,-0.448729,-0.448202,0.000526,0.000000
93,0.369017,0.088507,0.041177,0.999152,0.009482,-0.458576,-0.458051,0.000526,0.000000
94,0.359569,0.088873,0.036218,0.999344,0.009428,-0.468471,-0.467946,0.000526,0.000000
95,0.350175,0.089189,0.031107,0.999516,0.009371,-0.478409,-0.477883,0.000526,0.000000
96,0.340838,0.089455,0.025838,0.999666,0.009310,-0.488381,-0.487855,0.000526,0.000000
