--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL (Lift Coeff),0.275966,0.275872,-0.03%
CD (Drag Coeff),0.038353,0.038357,0.01%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Nx,Ny,Panel_Length,Cp_Solid,Cp_Porous,Cp_Difference,V_leakage
256,0.659162,-0.060381,0.137970,-0.990436,0.009396,-0.077163,-0.076712,0.000452,0.000000
257,0.668437,-0.059079,0.140045,-0.990145,0.009335,-0.072791,-0.072329,0.000462,0.000000
258,0.677647,-0.057767,0.142078,-0.989855,0.009271,-0.068390,-0.067916,0.000474,0.000000
259,0.686788,-0.056445,0.144071,-0.989567,0.009202,-0.063958,-0.063472,0.000486,0.000000
260,0.695858,-0.055116,0.146026,-0.989281,0.009131,-0.059495,-0.058996,0.000499,0.000000
261,0.704852,-0.053779,0.147945,-0.988996,0.009055,-0.054998,-0.054485,0.000513,0.000000
262,0.713767,-0.052437,0.149830,-0.988712,0.008976,-0.050467,-0.049938,0.000529,0.000000
263,0.722600,-0.051090,0.151683,-0.988429,0.008894,-0.045898,-0.045353,0.000545,0.000000
264,0.731347,-0.049740,0.153507,-0.988148,0.008808,-0.041290,-0.040728,0.000563,0.000000
265,0.740004,-0.048387,0.155301,-0.987867,0.008718,-0.036641,-0.036059,0.000582,0.000000
266,0.748570,-0.047032,0.157068,-0.987588,0.008625,-0.031947,-0.031346,0.000602,0.000000
267,0.757039,-0.045678,0.158809,-0.987309,0.008529,-0.027206,-0.026583,0.000623,0.000000
268,0.765409,-0.044324,0.160526,-0.987032,0.008429,-0.022416,-0.021770,0.000646,0.000000
269,0.773677,-0.042972,0.162219,-0.986755,0.008326,-0.017572,-0.016902,0.000670,0.000000
270,0.781840,-0.041623,0.163889,-0.986479,0.008220,-0.012671,-0.011977,0.000694,0.000000
271,0.789893,-0.040278,0.165538,-0.986203,0.008111,-0.007710,-0.006991,0.000720,0.000000
272,0.797835,-0.038938,0.167165,-0.985929,0.007998,-0.002686,-0.001941,0.000745,0.000000
273,0.805662,-0.037605,0.168772,-0.985655,0.007882,0.002406,0.003175,0.000768,0.000000
274,0.813372,-0.036278,0.170359,-0.985382,0.007763,0.007570,0.008360,0.000790,0.000000
275,0.820960,-0.034960,0.171926,-0.985110,0.007641,0.012809,0.013616,0.000807,0.000000
276,0.828425,-0.033652,0.173474,-0.984838,0.007516,0.018129,0.018945,0.000816,0.000000
277,0.835763,-0.032353,0.175002,-0.984568,0.007388,0.023533,0.024349,0.000816,0.000000
278,0.842972,-0.031066,0.176512,-0.984299,0.007257,0.029027,0.029828,0.000802,0.000000
279,0.850049,-0.029792,0.178001,-0.984030,0.007123,0.034615,0.035386,0.000771,0.000000
280,0.856990,-0.028531,0.179471,-0.983763,0.006987,0.040302,0.041025,0.000723,0.000000
281,0.863794,-0.027284,0.180922,-0.983497,0.006847,0.046094,0.046750,0.000656,0.000000
282,0.870458,-0.026054,0.182352,-0.983233,0.006705,0.051997,0.052568,0.000571,0.000000
283,0.876979,-0.024839,0.183761,-0.982971,0.006561,0.058017,0.058488,0.000471,0.000000
284,0.883354,-0.023643,0.185149,-0.982710,0.006413,0.064159,0.064519,0.000360,0.000000
285,0.889582,-0.022465,0.186515,-0.982452,0.006263,0.070431,0.070671,0.000240,0.000000
286,0.895659,-0.021307,0.187859,-0.982196,0.006111,0.076839,0.076954,0.000115,0.000000
287,0.901584,-0.020170,0.189179,-0.981943,0.005956,0.083391,0.083379,-0.000012,0.000000
288,0.907355,-0.019054,0.190475,-0.981692,0.005798,0.090094,0.089955,-0.000140,0.000000
289,0.912968,-0.017961,0.191746,-0.981445,0.005639,0.096958,0.096692,-0.000266,0.000000
290,0.918422,-0.016892,0.192991,-0.981201,0.005477,0.103991,0.103603,-0.000389,0.000000
291,0.923714,-0.015848,0.194208,-0.980960,0.005313,0.111204,0.110696,-0.000508,0.000000
292,0.928844,-0.014829,0.195398,-0.980724,0.005146,0.118607,0.117985,-0.000622,0.000000
293,0.933808,-0.013837,0.196558,-0.980492,0.004978,0.126212,0.125482,-0.000730,0.000000
294,0.938604,-0.012873,0.197688,-0.980265,0.004808,0.134032,0.133200,-0.000832,0.000000
295,0.943232,-0.011937,0.198787,-0.980043,0.004635,0.142082,0.141155,-0.000927,0.000000
296,0.947689,-0.011030,0.199853,-0.979826,0.004461,0.150376,0.149363,-0.001013,0.000000
297,0.951973,-0.010154,0.200885,-0.979615,0.004285,0.158935,0.157844,-0.001091,0.000000
298,0.956083,-0.009309,0.201883,-0.979410,0.004107,0.167777,0.166617,-0.001159,0.000000
299,0.960017,-0.008497,0.202845,-0.979211,0.003927,0.176925,0.175709,-0.001216,0.000000
300,0.963774,-0.007716,0.203769,-0.979019,0.003746,0.186405,0.185146,-0.001259,0.000000
301,0.967352,-0.006970,0.204656,-0.978834,0.003564,0.196247,0.194960,-0.001287,0.000000
302,0.970749,-0.006258,0.205503,-0.978657,0.003379,0.206485,0.205188,-0.001297,0.000000
303,0.973966,-0.005582,0.206309,-0.978487,0.003194,0.217160,0.215876,-0.001284,0.000000
304,0.976999,-0.004941,0.207075,-0.978325,0.003007,0.228318,0.227075,-0.001243,0.000000
305,0.979849,-0.004336,0.207797,-0.978172,0.002819,0.240017,0.238851,-0.001166,0.000000
306,0.982514,-0.003769,0.208477,-0.978027,0.002630,0.252322,0.251281,-0.001041,0.000000
307,0.984992,-0.003240,0.209112,-0.977892,0.002439,0.265316,0.264464,-0.000852,0.000000
308,0.987284,-0.002750,0.209701,-0.977765,0.002248,0.279100,0.278522,-0.000578,0.000000
309,0.989388,-0.002298,0.210245,-0.977649,0.002056,0.293799,0.293572,-0.000227,0.000000
310,0.991303,-0.001885,0.210742,-0.977542,0.001862,0.309575,0.309650,0.000075,0.000000
311,0.993029,-0.001513,0.211191,-0.977445,0.001669,0.326637,0.326829,0.000192,0.000000
312,0.994564,-0.001181,0.211592,-0.977358,0.001474,0.345268,0.345467,0.000199,0.000000
313,0.995909,-0.000889,0.211944,-0.977282,0.001279,0.365857,0.366040,0.000183,0.000000
314,0.997063,-0.000639,0.212247,-0.977216,0.001083,0.388967,0.389135,0.000167,0.000000
315,0.998026,-0.000430,0.212500,-0.977161,0.000887,0.415458,0.415614,0.000157,0.000000
316,0.998796,-0.000262,0.212703,-0.977117,0.000690,0.446733,0.446882,0.000149,0.000000
317,0.999374,-0.000136,0.212855,-0.977084,0.000493,0.485329,0.485471,0.000142,0.000000
318,0.999759,-0.000053,0.212957,-0.977062,0.000296,0.536473,0.536607,0.000134,0.000000
319,0.999952,-0.000011,0.213008,-0.977050,0.000099,0.611251,0.611369,0.000117,0.000000
