# AoA_deg=-5.0
panel_id,x0,y0,x1,y1,x_mid,y_mid,s,L,nx,ny,Cp_solid,Cp_porous,dCp_porous_minus_solid
0,1.0,0.0,0.9999989033776897,2.3909090884621785e-07,0.9999994516888449,1.1954545442310893e-07,5.611918019101014e-07,1.1223836038202027e-06,0.21302067139294953,0.9770476925715025,0.8011715398577185,0.8027611547050618,0.0015896148473433236
1,0.9999989033776897,2.3909090884621785e-07,0.9999956135155688,9.563605421591957e-07,0.9999972584466292,5.977257255027068e-07,2.805956330324681e-06,3.3671454530089565e-06,0.2130200917432924,0.9770478189493487,0.7320708437626743,0.7346621561805802,0.002591312417905889
2,0.9999956135155688,9.563605421591957e-07,0.9999901304280685,2.151799620424277e-06,0.9999928719718186,1.5540800812917363e-06,7.295474669511474e-06,5.611891225364629e-06,0.21301893252348422,0.9770480716866266,0.6909845456990195,0.6941230337522499,0.0031384880532304704
3,0.9999901304280685,2.151799620424277e-06,0.9999824541392404,3.825392678137584e-06,0.9999862922836544,2.9885961492809303e-06,1.4029725384138344e-05,7.85661020388911e-06,0.21301719371095437,0.9770484507860958,0.6641963014369534,0.6676641072588518,0.0034678058218984287
4,0.9999824541392404,3.825392678137584e-06,0.9999725846827561,5.977118064055819e-06,0.9999775194109982,4.9012553710967015e-06,2.3008676321807986e-05,1.0101291671450176e-05,0.2130148753153789,0.9770489562424052,0.6439053861142101,0.6476149050254769,0.003709518911266807
5,0.9999725846827561,5.977118064055819e-06,0.9999605221019081,8.606947942345344e-06,0.9999665533923321,7.292033003200581e-06,3.423228461291705e-05,1.2345924910767938e-05,0.21301197741740882,0.97704958803365,0.6272605263821792,0.6311680194471474,0.003907493064968182
6,0.9999605221019081,8.606947942345344e-06,0.9999462664496086,1.171484829304431e-05,0.9999533942757584,1.0160898117694827e-05,4.770049667120051e-05,1.4590499205798995e-05,0.21300850004252983,0.9770503461488724,0.6129877420368629,0.6170674403909345,0.004079698354071626
7,0.9999462664496086,1.171484829304431e-05,0.9999298177883902,1.5300778913074352e-05,0.9999380421189994,1.3507813603059332e-05,6.341324819405641e-05,1.6835003839912784e-05,0.21300444324986972,0.9770512305687011,0.6004069796268037,0.6046420423433905,0.0042350627165868016
8,0.9999298177883902,1.5300778913074352e-05,0.9999111761904045,1.9364693418064125e-05,0.9999204969893973,1.7332736165569238e-05,8.137046416324419e-05,1.907942809846277e-05,0.21299980712300293,0.977052241267356,0.5891072263828251,0.5934859321990411,0.004378705816216022
9,0.9999111761904045,1.9364693418064125e-05,0.9998903417374227,2.390653924319863e-05,0.9999007589639136,2.163561633063138e-05,0.0001015720588456862,2.1323761266421244e-05,0.21299459173211624,0.9770533782208979,0.5788179742000317,0.5833318528929952,0.004513878692963491
