# AoA_deg=-5.0
panel_id,x0,y0,x1,y1,x_mid,y_mid,s,L,nx,ny,Cp_solid,Cp_porous,dCp_porous_minus_solid
0,1.0,0.0,0.9999036202410324,2.1011881046247016e-05,0.9999518101205163,1.0505940523123508e-05,4.932179306288582e-05,9.864358612577164e-05,0.2130080816349949,0.9770504373665565,0.6099765617430031,0.5585699627716522,-0.051406598971350914
1,0.9999036202410324,2.1011881046247016e-05,0.9996145181203615,8.402364073564483e-05,0.999759069180697,5.2517760890945925e-05,0.0002465882700751856,0.0002958893678988279,0.21295716076876114,0.9770615373032079,0.5349035623412918,0.34997503645457906,-0.1849285258867127
2,0.9996145181203615,8.402364073564483e-05,0.999132805092358,0.0001889636945430234,0.9993736616063598,0.00013649366763933413,0.0006410384591565236,0.000493011010263848,0.2128553959701977,0.9770837120771025,0.4835585756580286,0.36122817299537346,-0.12233040266265516
3,0.999132805092358,0.0001889636945430234,0.998458666866564,0.00033571295393598484,0.998795735979461,0.00026233832423950415,0.0012325068944016142,0.0006899258602263326,0.2127029407838399,0.9771169116241446,0.4447992864697453,0.34216903439819357,-0.10263025207155174
4,0.998458666866564,0.00033571295393598484,0.9975923633360984,0.000524105153473664,0.9980255151013312,0.0004299090537048244,0.0020207455366127794,0.0008865514241959984,0.21250002469798016,0.977161061188665,0.4133781344926182,0.3209798053383546,-0.0923983291542636
5,0.9975923633360984,0.000524105153473664,0.9965342284774632,0.0007539273059303047,0.9970632959067808,0.0006390162297019843,0.0030054239640758375,0.0010828054307301174,0.21224695216173373,0.977216061727423,0.38675190316576813,0.30082326479760213,-0.085928638368166
6,0.9965342284774632,0.0007539273059303047,0.9952846702217886,0.0010249202826471265,0.9959094493496259,0.0008894237942887156,0.004186129625577247,0.0012786058922727023,0.21194410127043606,0.977281790445656,0.3635109286619026,0.28214997170762723,-0.08136095695427537
7,0.9952846702217886,0.0010249202826471265,0.9938441702975689,0.0013367795155540027,0.9945644202596787,0.0011808498991005647,0.005562368154520227,0.0014738711656132576,0.2115919221318885,0.9773581014595075,0.34279399700748736,0.26489192206824164,-0.07790207493924572
8,0.9938441702975689,0.0013367795155540027,0.9922132840449458,0.0016891558165611773,0.9930287271712573,0.00151296766605759,0.00713356374273681,0.0016685200108199107,0.21119093491364058,0.9774448265811746,0.3240361606655068,0.24888164694689097,-0.07515451371861581
9,0.9922132840449458,0.0016891558165611773,0.9903926402016152,0.0020816563093059956,0.9913029621232805,0.0018854060629335864,0.00889905957234256,0.0018624716483915883,0.21074172757678097,0.9775417762213305,0.3068463711238161,0.23395061578558696,-0.07289575533822912
10,0.9903926402016152,0.0020816563093059956,0.9883829406604362,0.0025138454675667954,0.9893877904310258,0.0022977508884363955,0.010858118303747246,0.002055645814417783,0.21024495330349893,0.9776487404024052,0.29094242678995574,0.21995178068599808,-0.07099064610395767
11,0.9883829406604362,0.0025138454675667954,0.9861849601988383,0.0029852462540126395,0.9872839504296372,0.0027495458607897172,0.01300992261772272,0.002247962813533165,0.2097013276233581,0.9777654898762796,0.27611380977781275,0.206762008455615,-0.06935180132219776
12,0.9861849601988383,0.0029852462540126395,0.9837995461801299,0.003495341352363115,0.9849922531894841,0.0032402938031878773,0.015353575809234252,0.002439343569489901,0.20911162524643598,0.977891777338778,0.2621991887925914,0.1942793219535357,-0.06791986683905571
13,0.9837995461801299,0.003495341352363115,0.9812276182268236,0.004043574485485815,0.9825135822034767,0.003769457918924465,0.017888102430572567,0.002629709673186728,0.20847667661287544,0.9780273387326401,0.24907213858685395,0.18241924599990245,-0.0666528925869515
14,0.9812276182268236,0.004043574485485815,0.9784701678661044,0.004629351811457578,0.9798488930464639,0.004336463148471696,0.02061244898117607,0.002818983428020271,0.20779736416653755,0.9781718946307133,0.2366317104241824,0.1711114655926954,-0.065520244831487
15,0.9784701678661044,0.004629351811457578,0.9755282581475768,0.005252043389175499,0.9769992130068406,0.004940697600316539,0.023525484641411916,0.00300708789245142,0.20707461836451155,0.9783251516899645,0.22479599528363126,0.16029706001570554,-0.06449893526792572
16,0.9755282581475768,0.005252043389175499,0.972403023233439,0.005910984704718076,0.973965640690508,0.005581514046946788,0.026626002047488728,0.003193946919702207,0.2063094134338383,0.9784868041668142,0.21349760358297742,0.14992629310645755,-0.06357131047651987
17,0.972403023233439,0.005910984704718076,0.969095667961242,0.006605478249329006,0.9707493455973405,0.006258231477023541,0.029912718104603924,0.0033794851945281802,0.20550276288690486,0.9786565354841547,0.20268041215905686,0.13995686843584276,-0.06272354372321409
18,0.969095667961242,0.006605478249329006,0.9656074673794017,0.007334795139636093,0.9673515676703219,0.00697013669448255,0.033384274835387424,0.0035636282670388295,0.20465571480975706,0.9788340198397824,0.19229717278631597,0.13035255353336095,-0.061944619252955024
19,0.9656074673794017,0.007334795139636093,0.9619397662556434,0.008098176770518828,0.9637736168175226,0.00771648595507746,0.03703924026068679,0.0037463025835598918,0.2037693469376245,0.9790189238460174,0.18230772081645774,0.12108209134297909,-0.06122562947347865
20,0.9619397662556434,0.008098176770518828,0.9580939785585679,0.008894836490904081,0.9600168724071056,0.008496506630711454,0.040876109309748894,0.003927435514564325,0.2028447615322915,0.9792109081903182,0.17267761091273637,0.11211833393433923,-0.060559276978397136
21,0.9580939785585679,0.008894836490904081,0.9540715869125407,0.009723961292706909,0.9560827827355542,0.009309398891805494,0.044893304756890046,0.004106955379717968,0.20188308007859712,0.979409629306338,0.1633770626015535,0.10343754834742269,-0.0599395142541308
22,0.9540715869125407,0.009723961292706909,0.9498741420261108,0.010584713503131594,0.9519728644693257,0.010154337397919252,0.04908917818180637,0.004284791470114701,0.20088543781610074,0.9796147410453936,0.154380134451656,0.0950188563347899,-0.05936127811686609
23,0.9498741420261108,0.010584713503131594,0.9455032620941839,0.011476232470622193,0.9476887020601473,0.011030472986876894,0.0534620109507607,0.004460874067793943,0.199852978125313,0.9798258963379378,0.14566406959815248,0.08684377890181605,-0.05882029069633643
24,0.9455032620941839,0.011476232470622193,0.9409606321741775,0.012397636234883169,0.9432319471341807,0.011936934352752681,0.05801001521598731,0.0046351344626592945,0.19878684678595976,0.9800427488354247,0.1372087715001381,0.07889586345217403,-0.058312908047964074
25,0.9409606321741775,0.012397636234883169,0.9362480035363985,0.01334802317159974,0.938604317855288,0.012872829703241453,0.06273133493078402,0.004807504966934116,0.19768818612841926,0.9802649545226308,0.12899637996632696,0.07116037653498264,-0.05783600343134432
26,0.9362480035363985,0.01334802317159974,0.9313671929888959,0.014326473602750144,0.9338075982626473,0.013837248387174941,0.06762404687790403,0.0049779189273059295,0.1965581290975234,0.9804921732913942,0.1210109252974706,0.0636240490898119,-0.0573868762076587
27,0.9313671929888959,0.014326473602750144,0.9263200821770461,0.015332051363740046,0.928843637582971,0.014829262483245096,0.07268616170902362,0.005146310734933222,0.19539779325100354,0.9807240704666313,0.11323804395827164,0.05627486402412607,-0.05696317993414557
28,0.9263200821770461,0.015332051363740046,0.9211086168581433,0.016363805318975563,0.9237143495175947,0.015847928341357804,0.07791562499323627,0.005312615833492103,0.1942082747130093,0.9809603182764308,0.10566474321036967,0.04910187818385314,-0.05656286502651653
29,0.9211086168581433,0.016363805318975563,0.9157348061512727,0.017420770817951167,0.918421711504708,0.016892288068463365,0.08331031827271443,0.005476770725464214,0.19299064210616831,0.9812005972579964,0.09827920507796395,0.0420950724723832,-0.05618413260558075
30,0.9157348061512727,0.017420770817951167,0.9102007217627568,0.01850197108443043,0.9129677639570147,0.017961370951190797,0.08886806012387834,0.0056387129768636045,0.19174593048370664,0.9814445975922114,0.09107062219505957,0.035245225172828465,-0.055825397022231105
31,0.9102007217627568,0.01850197108443043,0.9045084971874737,0.019606418531861788,0.9073546094751153,0.01905419480814611,0.09458660722261822,0.005798381220616158,0.1904751352850847,0.9816920203598116,0.08402905971360786,0.028543804530539174,-0.05548525518306868
32,0.9045084971874737,0.019606418531861788,0.8986603268863536,0.02073311599878134,0.9015844120369136,0.02016976726532156,0.10046365541233078,0.005955715158808966,0.18917920633814694,0.981942578712864,0.07714533868451878,0.02198287743060745,-0.05516246125391133
33,0.8986603268863536,0.02073311599878134,0.8926584654403724,0.021881057898606105,0.895659396163363,0.021307086948693724,0.10649684077374688,0.006110655564023233,0.18785904193051353,0.9821959989558853,0.07041093726541148,0.015555031613266102,-0.054855905652145376
34,0.8926584654403724,0.021881057898606105,0.8865052266813684,0.023049231278920893,0.8895818460608704,0.0224651445887635,0.11268374069574606,0.006263144279975105,0.18651548297390197,0.9824520215313377,0.0638179068339425,0.009253309347527106,-0.0545645974864154
35,0.8865052266813684,0.023049231278920893,0.8802029828000155,0.024236616786089103,0.883354104740692,0.023642924032504998,0.11902187494657301,0.006413124221678809,0.18514930728370937,0.9827104019050386,0.05735880064884591,0.003071150861276073,-0.054287649787569836
36,0.8802029828000155,0.024236616786089103,0.8737541634312983,0.02544218953178225,0.876978573115657,0.024839403158935677,0.12550870674508677,0.006560539375348681,0.1837612239967806,0.982970911347434,0.05102661314170032,-0.002997653873484385,-0.0540242670151847
37,0.8737541634312983,0.02544218953178225,0.8671612547178428,0.0266649198588106,0.8704577090745705,0.026053554695296424,0.13214164383188498,0.006705334798247784,0.18235186814950247,0.9832333376072978,0.04481472826962374,-0.00895900616155143,-0.05377373443117517
38,0.8671612547178428,0.0266649198588106,0.8604267983514594,0.027903774004446335,0.8637940265346511,0.02728434693162847,0.13891803954035528,0.006847456618692835,0.1809217954377093,0.9834974854749735,0.03871687563492621,-0.014818533379639787,-0.05353540901456599
39,0.8604267983514594,0.027903774004446335,0.8535533905932737,0.029157714660253853,0.8569900944723665,0.028530744332350096,0.1458351938679027,0.006986852036401949,0.1794714771794803,0.9837631772327197,0.032727093297761134,-0.020581618357835785,-0.05330871165559692
40,0.8535533905932737,0.029157714660253853,0.8465436812728179,0.030425701428277187,0.8500485359330459,0.029791708044265522,0.1528903545477948,0.007123469323382253,0.1780012955009525,0.984030252990213,0.026839696384693634,-0.02625342403282538,-0.05309312041751901
41,0.8465436812728179,0.030425701428277187,0.8394003727664707,0.03170669117427093,0.8429720270196444,0.03106619630127406,0.16008071812225008,0.00725725782552836,0.17651153876436573,0.9842985709036846,0.02104925073892161,-0.03183891395501015,-0.05288816469393176
42,0.8394003727664707,0.03170669117427093,0.8321262189556409,0.0329996382794971,0.8357632958610558,0.032353164726884015,0.16740343101756405,0.007388167965099547,0.17500239725650887,0.9845680072775446,0.015350550974125188,-0.03734286914674079,-0.052693420120865975
43,0.8321262189556409,0.0329996382794971,0.8247240241650917,0.03430349479343939,0.8284251215603663,0.03365156653646824,0.17485559062223024,0.007516151244232835,0.17347395915465957,0.9848384565476753,0.009738602388718598,-0.042769901739127425,-0.05250850412784602
44,0.8247240241650917,0.03430349479343939,0.8171966420818226,0.0356172104906005,0.8209603331234572,0.034960352642019944,0.18243424636916045,0.007641160249627536,0.1719262067858281,0.985109831145866,0.004208606275278526,-0.0481244657569706,-0.05233307203224913
45,0.8171966420818226,0.0356172104906005,0.8095469746549171,0.03693973283534619,0.8133718083683699,0.03627847166297335,0.19013640082324484,0.007763148658541276,0.17035901319377758,0.9853820612451002,-0.0012440517757159597,-0.05341086537323947,-0.05216681359752351
46,0.8095469746549171,0.03693973283534619,0.8017779709767857,0.038270006859528714,0.8056624728158515,0.03760486984743745,0.1979590107756174,0.00788207124620386,0.1687721390266811,0.9856550943856369,-0.0066238109249963095,-0.058633260913967034,-0.052009449988970724
