alpha_deg,porous_CL,porous_CD,porous_CM,solid_panel_CL,solid_panel_CD,solid_panel_CM,xfoil_CL,xfoil_CD,xfoil_CM
-5.0,-0.41455343481881723,0.0012753091402134473,-0.03266108041723843,-0.6309497967338042,5.4627665796148916e-05,0.011783259423640509,-0.6316,0.0,0.0121
-4.0,-0.3072549681496336,0.0011625217770407509,-0.03116051778364882,-0.5049906197924074,5.476531522845274e-05,0.009443881158924625,-0.5055,0.0,0.0097
-3.0,-0.1999686673801737,0.001045204111302652,-0.029627015670492644,-0.37887762072480347,5.48725969996694e-05,0.007092996979795752,-0.3793,0.0,0.0073
-2.0,-0.09271237469235016,0.000925075533774228,-0.02806568895242638,-0.25264921405195145,5.494934496550613e-05,0.004733471076500077,-0.2529,0.0,0.0048
-1.0,0.014496111907775104,0.0008038892190346521,-0.02648170812054946,-0.12634384944310445,5.499544015893573e-05,0.0023681781678941416,-0.1264,0.0,0.0024
0.0,0.12163903002288834,0.0006834194463522087,-0.024880282738727034,-5.62161428518948e-12,5.501081109023087e-05,-9.587660526610975e-13,0.0001,0.0,-0.0
1.0,0.22869864512070232,0.0005654486825685005,-0.023266644849524773,0.12634384943228408,5.4995433924761965e-05,-0.0023681781697495966,0.1265,0.0,-0.0024
2.0,0.33565724229701405,0.00045175450258452474,-0.02164603209886807,0.2526492140424004,5.4949332543208565e-05,-0.004733471078169698,0.253,0.0,-0.0049
3.0,0.44249712590148516,0.0003440964824601954,-0.020023672337437577,0.3788776207173624,5.4872578481472006e-05,-0.007092996981155694,0.3794,0.0,-0.0073
4.0,0.5492006055400659,0.00024420302158966595,-0.01840476532214346,0.5049906197879122,5.4765290751671025e-05,-0.009443881159851512,0.5056,0.0,-0.0097
5.0,0.6557499968761827,0.00015375835651310066,-0.01679446741271337,0.6309497967330812,5.462763554359845e-05,-0.01178325942401166,0.6317,0.0,-0.0121
6.0,0.7621276198780599,7.438973787164682e-05,-0.015197875718218363,0.7567167838796325,5.4459825807706697e-05,-0.014108281601574763,0.7577,0.0,-0.0145
7.0,0.8683157987774173,7.654881083410392e-06,-0.013620012612919468,0.8822532720872807,5.426212072215386e-05,-0.016416115011159787,0.8833,0.0,-0.0169
8.0,0.9742968396380312,-4.497028702804551e-05,-0.012065805858344084,1.0075210224160842,5.403482504370838e-05,-0.01870394791325164,1.0088,0.0,-0.0192
9.0,1.0800530603268406,-8.210325756333181e-05,-0.010540079379174224,1.1324818777725305,5.37782883437421e-05,-0.02096899293587237,1.1339,0.0,-0.0216
10.0,1.1855667747902763,-0.00010246621432968839,-0.009047535006467725,1.2570977745306886,5.349290413414476e-05,-0.023208490470565717,1.2586,0.0,-0.0239
11.0,1.2908202884235436,-0.0001048966283670183,-0.007592736730269511,1.3813307541249469,5.3179108882528414e-05,-0.025419712034553794,1.383,0.0,-0.0261
12.0,1.3957959139599805,-8.835715306848568e-05,-0.006180099247562923,1.505142974610799,5.2837380921266774e-05,-0.027599963594973534,1.507,0.0,-0.0284
