panel_id,XB_start_m,YB_start_m,XB_end_m,YB_end_m,XC_m,YC_m,XC_over_c,YC_over_c,panel_length_m,tx,ty,nx,ny,Vt_m_s,Cp,normal_transpiration_m_s,is_pore1_panel,is_pore2_panel
0,1.0,0.0,0.9999901304280685,-2.151799620424277e-06,0.9999950652140343,-1.0758998102121384e-06,0.9999950652140343,-1.0758998102121384e-06,1.0101420282191418e-05,-0.9770479453169257,-0.21301951213908493,0.21301951213908488,-0.9770479453169257,-3.351558067595533,0.791895891245403,0.0,0,0
1,0.9999901304280685,-2.151799620424277e-06,0.9999605221019081,-8.606947942345344e-06,0.9999753262649883,-5.379373781384811e-06,0.9999753262649883,-5.379373781384811e-06,3.0303826786036133e-05,-0.9770490825942207,-0.2130142957685978,0.21301429576859818,-0.9770490825942206,-3.759530548978229,0.7381489047312499,0.0,0,0
2,0.9999605221019081,-8.606947942345344e-06,0.9999111761904045,-1.9364693418064125e-05,0.9999358491461563,-1.3985820680204735e-05,0.9999358491461563,-1.3985820680204735e-05,5.0504931143842874e-05,-0.9770513568880412,-0.2130038638223202,0.21300386382232014,-0.9770513568880412,-4.025398813077693,0.6998039406945227,0.0,0,0
3,0.9999111761904045,-1.9364693418064125e-05,0.99984209464165,-3.44237837039768e-05,0.9998766354160272,-2.6894238561020463e-05,0.9998766354160272,-2.6894238561020463e-05,7.070386537213775e-05,-0.9770547676695426,-0.2129882179234713,0.21298821792347084,-0.9770547676695427,-4.220451628138446,0.6700067833253012,0.0,0,0
4,0.99984209464165,-3.44237837039768e-05,0.9997532801828658,-5.378246601429187e-05,0.9997976874122578,-4.410312485913434e-05,0.9997976874122578,-4.410312485913434e-05,9.08997616603956e-05,-0.9770593141485188,-0.21296736049363565,0.21296736049363602,-0.9770593141485187,-4.375171553196776,0.645368481374341,0.0,0,0
5,0.9997532801828658,-5.378246601429187e-05,0.9996447363202946,-7.743848761564697e-05,0.9996990082515802,-6.561047681496942e-05,0.9996990082515802,-6.561047681496942e-05,0.00011109175243859832,-0.9770649952721834,-0.212941294759303,0.21294129475930296,-0.9770649952721834,-4.50395640010809,0.6241837852389415,0.0,0,0
6,0.9996447363202946,-7.743848761564697e-05,0.9995164673390624,-0.00010538909646298776,0.9995806018296785,-9.141379203931737e-05,0.9995806018296785,-9.141379203931737e-05,0.00013127897044569578,-0.9770718097248688,-0.2129100247545184,0.2129100247545179,-0.977071809724869,-4.614658370693858,0.6054825032438738,0.0,0,0
7,0.9995164673390624,-0.00010538909646298776,0.9993684783030088,-0.00013763104197555968,0.9994424728210356,-0.00012151006921927373,0.9994424728210356,-0.00012151006921927373,0.00015146054879906903,-0.977079755930009,-0.2128735553133694,0.21287355531336977,-0.9770797559300088,-4.712014275980106,0.5886605588932574,0.0,0,0
8,0.9993684783030088,-0.00013763104197555968,0.9992007750544876,-0.00017416057595273787,0.9992846266787482,-0.00015589580896414879,0.9992846266787482,-0.00015589580896414879,0.0001716356210614824,-0.9770888320504804,-0.21283189207031042,0.21283189207031036,-0.9770888320504804,-4.79909969139289,0.5733156620920252,0.0,0,0
9,0.9992007750544876,-0.00017416057595273787,0.9990133642141358,-0.00021497345362984504,0.9991070696343116,-0.00019456701479129144,0.9991070696343116,-0.00019456701479129144,0.0001918033213102671,-0.9770990359891916,-0.21278504145966767,0.21278504145966762,-0.9770990359891916,-4.878025862672611,0.5591657230178719,0.0,0,0
10,0.9990133642141358,-0.00021497345362984504,0.9988062531806126,-0.00026006493487192164,0.9989098086973742,-0.00023751919425088334,0.9989098086973742,-0.00023751919425088334,0.00021196278420435426,-0.9771103653910544,-0.21273301070910475,0.21273301070910428,-0.9771103653910546,-4.950306249797518,0.5460047665721506,0.0,0,0
11,0.9988062531806126,-0.00026006493487192164,0.9985794501303069,-0.00030942978550592274,0.9986928516554597,-0.0002847473601889222,0.9986928516554597,-0.0002847473601889222,0.00023211314505228417,-0.9771228176437752,-0.2126758078388084,0.21267580783880877,-0.9771228176437751,-5.0170639413438565,0.5336774355689031,0.0,0,0
12,0.9985794501303069,-0.00030942978550592274,0.9983329640170149,-0.0003630622787897927,0.9984562070736609,-0.00033624603214785773,0.9984562070736609,-0.00033624603214785773,0.00025225353987933863,-0.9771363898795443,-0.2126134416568511,0.21261344165685145,-0.9771363898795442,-5.079156141176936,0.5220634036836467,0.0,0,0
13,0.9983329640170149,-0.0003630622787897927,0.9980668045715863,-0.00042095619701821847,0.9981998842943005,-0.0003920092379040056,0.9981998842943005,-0.0003920092379040056,0.00027238310549429023,-0.977151078976173,-0.21254592175739517,0.21254592175739553,-0.977151078976173,-5.1372525753365785,0.5110673995466948,0.0,0,0
14,0.9980668045715863,-0.00042095619701821847,0.99778098230154,-0.00048310483326258755,0.9979238934365631,-0.000452030515140403,0.9979238934365631,-0.000452030515140403,0.00029250097955635775,-0.9771668815597364,-0.21247325851226576,0.21247325851226614,-0.9771668815597363,-5.191886896171237,0.500612572593629,0.0,0,0
15,0.99778098230154,-0.00048310483326258755,0.9974755084906501,-0.000549500993246263,0.9976282453960951,-0.0005163029132544253,0.9976282453960951,-0.0005163029132544253,0.00031260630064051687,-0.9771837940052812,-0.21239546307170554,0.2123954630717059,-0.9771837940052811,-5.2434915411733245,0.49063593591668786,0.0,0,0
16,0.9974755084906501,-0.000549500993246263,0.9971503951984995,-0.0006201369973518902,0.9973129518445748,-0.0005848189952990766,0.9973129518445748,-0.0005848189952990766,0.0003326982083045593,-0.9772018124397732,-0.21231254735512523,0.21231254735512473,-0.9772018124397733,-5.292422062886536,0.48108514790556034,0.0,0,0
17,0.9971503951984995,-0.0006201369973518902,0.9968056552600042,-0.0006950046827602862,0.9969780252292518,-0.0006575708400560882,0.9969780252292518,-0.0006575708400560882,0.00035277584315274364,-0.9772209327439693,-0.21222452404707298,0.21222452404707293,-0.9772209327439693,-5.338974537422906,0.47191618428926263,0.0,0,0
18,0.9968056552600042,-0.0006950046827602862,0.9964413022849068,-0.0007740954057207732,0.9966234787724555,-0.0007345500442405297,0.9966234787724555,-0.0007345500442405297,0.0003728383469021688,-0.9772411505542069,-0.212131406593861,0.21213140659386054,-0.977241150554207,-5.38339829329619,0.46309161867732507,0.0,0,0
19,0.9964413022849068,-0.0007740954057207732,0.996057350657239,-0.0008574000439487485,0.9962493264710729,-0.0008157477248347609,0.9962493264710729,-0.0008157477248347609,0.0003928848624457894,-0.9772624612656796,-0.21203320919362129,0.21203320919362167,-0.9772624612656796,-5.425905397428469,0.45457932896754627,0.0,0,0
20,0.996057350657239,-0.0008574000439487485,0.9956538155347533,-0.0009449089991521261,0.9958555830959961,-0.0009011545215504373,0.9958555830959961,-0.0009011545215504373,0.0004129145339175343,-0.9772848600342345,-0.2119299467934311,0.21192994679343147,-0.9772848600342345,-5.466677844834447,0.4463515081115099,0.0,0,0
21,0.9956538155347533,-0.0009449089991521261,0.9952307128483255,-0.001036612199682553,0.9954422641915395,-0.0009907605994173396,0.9954422641915395,-0.0009907605994173396,0.0004329265067536384,-0.9773083417794229,-0.21182163508092022,0.21182163508092017,-0.977308341779423,-5.505873090617094,0.43838389649347675,0.0,0,0
22,0.9952307128483255,-0.001036612199682553,0.9947880593013254,-0.0011324991033110395,0.9950093860748255,-0.0010845556514967962,0.9950093860748255,-0.0010845556514967962,0.00045291992775683016,-0.977332901187304,-0.2117082904772686,0.21170829047726855,-0.977332901187304,-5.543628364574767,0.4306551783774112,0.0,0,0
23,0.9947880593013254,-0.0011324991033110395,0.994325872368957,-0.0012325587001264903,0.9945569658351412,-0.001182528901718765,0.9945569658351412,-0.001182528901718765,0.0004728939451579134,-0.9773585327130755,-0.2115899301312427,0.21158993013124264,-0.9773585327130755,-5.5800640778643915,0.4231465016474747,0.0,0,0
24,0.994325872368957,-0.0012325587001264903,0.9938441702975689,-0.0013367795155540027,0.9940850213332629,-0.0012846691078402465,0.9940850213332629,-0.0012846691078402465,0.0004928477086767804,-0.9773852305844858,-0.21146657190986848,0.21146657190986798,-0.9773852305844859,-5.6152865430339665,0.4158410914516324,0.0,0,0
25,0.9938441702975689,-0.0013367795155540027,0.9933429721039341,-0.001445149613492419,0.9935935712007515,-0.001390964564523211,0.9935935712007515,-0.001390964564523211,0.0005127803695832938,-0.9774129888047489,-0.2113382343916209,0.21133823439162125,-0.9774129888047489,-5.64939016821296,0.40872393623645265,0.0,0,0
26,0.9933429721039341,-0.001445149613492419,0.992822297574499,-0.0015576565995684118,0.9930826348392165,-0.0015014031065304152,0.9930826348392165,-0.0015014031065304152,0.0005326910807572382,-0.9774418011559229,-0.21120493685770036,0.21120493685769987,-0.977441801155923,-5.6824592440061865,0.40178153019630336,0.0,0,0
