eval_id,topology_pore1_side,topology_pore2_side,x1_frac,x2_frac,d1_m,d2_m,effective_hydraulic_diameter_m,CL,CD,CM,gain_percent,Q_m3_s,Rs_Pa_s_per_m3,dp_total_Pa,Re_equivalent,max_vn_m_s,max_vn_over_vinf,coupling_converged,coupling_iterations,objective_value
10884,lower,upper,0.9051336569455897,0.9514164062145278,0.019254619725195564,0.01556980261853471,0.01036664992026502,0.5518908163392292,0.0003562083550214881,-0.018371308362604317,9.287340143271239,-0.00038158179741452875,3500.0636086288678,1.3355605628457852,3189.502294222929,1.1494081790849138,0.15644722437544661,True,21,-0.05654461940781061
9484,lower,upper,0.9051336569455897,0.9514164062145278,0.01929858852391582,0.016404815470014586,0.01036664992026502,0.5518908163392292,0.0003562083550214881,-0.018371308362604317,9.287340143271239,-0.00038158179741452875,3500.0636086288678,1.3355605628457852,3189.502294222929,1.1494081790849138,0.15644722437544661,True,21,-0.05654461940781061
7369,lower,upper,0.8943980004058898,0.9441917383578207,0.017114494880416335,0.017144313868720586,0.011157046011372589,0.551868977950708,0.00037266509365024847,-0.018046304926149982,9.283015629574276,-0.00040901728373392065,2873.648927517964,1.1753720787382917,3176.6263818557472,1.1570587131858618,0.1574885470725201,True,21,-0.05497771224303485
7026,lower,upper,0.9096910327284001,0.9559841746757791,0.016499181741626293,0.014776997018796497,0.00981159046149823,0.551605760318103,0.0003689996112878971,-0.018427920089514382,9.230892357915188,-0.00036622318381292847,4306.67315754118,1.5772035553964088,3234.2986821585578,1.1483839634953377,0.1563078172535321,True,21,-0.05622732661938065
6746,lower,upper,0.9096910327284001,0.9550949826805082,0.016499181741626293,0.015102829881895681,0.00981159046149823,0.5515300498310076,0.00036839570973926095,-0.01841328411735245,9.215899903772717,-0.0003656286149790246,4313.955046458869,1.57730540871853,3229.0477497191464,1.1465195445642773,0.15605404912124887,True,21,-0.05618615304717903
15538,lower,upper,0.9214365633483079,0.9586559096689551,0.018230343767895653,0.014638590926349213,0.009852788334266683,0.5514733675079528,0.0003154050992098395,-0.018613968251222295,9.204675472895453,-0.000346530064262619,3477.778309496775,1.20515474108106,3047.582480688686,1.1174165784683405,0.15209281206930192,True,21,-0.05889841165912897
14545,lower,upper,0.9049277220450702,0.9509048718210017,0.016509448681520548,0.016455591621147847,0.010604412185140856,0.5514106627569941,0.0003506848541967242,-0.018221734235232472,9.192258459885384,-0.0003814800104881041,3135.395512093436,1.1960907128377585,3117.1585171827614,1.1343009840918956,0.1543909672791747,True,21,-0.05634654261647342
11522,lower,upper,0.9243920380996506,0.9593877613476933,0.017683329188964942,0.014327475016770199,0.009778568947979134,0.5512910881037126,0.00030478481690118103,-0.018641696550542566,9.168579870898586,-0.00033854611578851523,3411.8371526232286,1.1550642157235416,2999.965327656084,1.1074289525727958,0.15073338521129723,True,21,-0.059380315868118705
10830,lower,upper,0.924506945412811,0.9612040888874763,0.018011483632717182,0.013952486961519461,0.009512161236283196,0.5512726424859828,0.0003130589934134051,-0.018666119396298343,9.164927205481233,-0.00033515877843951766,3881.571917235722,1.3009429022058612,3053.1286029290654,1.112452512708726,0.15141714756313215,True,21,-0.059062989154819515
12865,lower,upper,0.9190130963177731,0.9574893205825536,0.01785330308898906,0.015127481782633963,0.010013486567781338,0.5511828274030885,0.00031388706372357383,-0.018509361459922897,9.147141710191843,-0.00034929954361104986,3315.8836839556234,1.1582366574730258,3022.6398299572948,1.1105913669306635,0.15116382494334032,True,21,-0.05855807282430402
