topology_pore1_side,topology_pore2_side,success,message,best_fun,gain_percent,CL,CD,CM,Q_m3_s,Rs_Pa_s_per_m3,dp_total_Pa,Re_equivalent,max_vn_m_s,max_vn_over_vinf,coupling_iterations,x1_frac,x2_frac,x1_abs_m,x2_abs_m,d1_m,d2_m,effective_hydraulic_diameter_m
lower,upper,False,Maximum number of iterations has been exceeded.,-0.060421081554857384,8.754615238342689,0.5492006055400659,0.00024420302158966595,-0.01840476532214346,-0.0003053709855792244,2436.057944489946,0.7439014154369943,2635.965902459793,1.0287356368228862,0.14002235056755952,20,0.9364082819476018,0.9622435510337193,0.9364082819476018,0.9622435510337193,0.019821876686157192,0.013509093378918412,0.010038334999093356
upper,upper,False,Maximum number of iterations has been exceeded.,-0.04007282472325815,7.750171805362971,0.5441282604224427,0.00022950310766265553,-0.01550071778537555,-0.00045967816413783346,84978.51510645842,39.062767815295956,4098.883111334857,1.172797348392789,0.1596307501979074,23,0.010037624777917808,0.948532279355536,0.010037624777917808,0.948532279355536,0.019276948855285688,0.018424638277738607,0.009717667670465573
