aoa,CL_solid,CD_solid,CL,CD,CLCD,leak_rms,leak_max
-5.0,-0.23053991028492438,0.03336060291648188,-0.07893537790111105,0.02487521323615361,-3.173254321422789,0.7751920541768629,4.630046323723185
-4.0,-0.18480620894438882,0.02925529723799086,0.005651197414490408,0.02084039387234689,0.2711655762762629,0.8737457807474204,5.2579460648970695
-3.0,-0.13882319698395523,0.02604915632682298,0.05843171026374308,0.019685410573544795,2.968274908083509,0.8943489097728526,5.4078745499078735
-2.0,-0.0926526708344256,0.023752014039521704,0.09680684751845062,0.01994325893501753,4.854113754879722,0.8778281152673783,5.313254925654526
-1.0,-0.0463568821031707,0.022370914091994893,0.1349860630558404,0.020870313210204897,6.467850371472567,0.8601137453154202,5.1903072492322435
0.0,1.613467223327003e-06,0.02191009052551119,0.17727327601085724,0.02249080989656293,7.882031675082822,0.8414083897663565,5.067982515014471
1.0,0.04636010786198127,0.022370955964857046,0.21889326254761896,0.024956514695883104,8.770986862799285,0.8237551224117884,4.9589317216962465
2.0,0.09265589306856108,0.023752097700878973,0.25725609509632014,0.028191248406196103,9.125388538332802,0.8031484796323126,4.833169560700646
3.0,0.13882641335107102,0.026049281608163236,0.2939681466751677,0.03211013833886743,9.154994711130895,0.7793362991969675,4.682514362544181
4.0,0.18480941711327745,0.029255463887100257,0.3315354631090553,0.03675877321193926,9.01922001554593,0.7554983256348319,4.5270010946283925
5.0,0.23054310793993113,0.03336081059810852,0.3702597245456685,0.04219334494788759,8.775311011587155,0.7339004770595962,4.383812476083968
6.0,0.27596629440837855,0.03835272493440605,0.40896120579241824,0.04838120174695672,8.452894740459602,0.7141678541070524,4.252622294232951
7.0,0.32101853826580035,0.044215882158480393,0.4467566925061816,0.055249074694238155,8.086229406927732,0.6947484970322455,4.123595024370294
8.0,0.36564030057188673,0.050932272106373314,0.48370760025318404,0.0627662161169482,7.706496108419483,0.6748818041273444,3.991058961336555
9.0,0.4097730854123222,0.058481249143126746,0.5202915983589048,0.07095124752231793,7.3330859783390325,0.6549346157890291,3.8568237803192336
10.0,0.45335958079511124,0.0668395894322859,0.5567828761973374,0.07982486148417174,6.975055964246994,0.635616093185127,3.725444063006395
