Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Large Pores,-5.0,0.331563,-0.223911,-0.321623,0.000000
Large Pores,-5.0,0.322353,-0.226048,-0.324181,0.000000
Large Pores,-5.0,0.313212,-0.227972,-0.326526,0.000000
Large Pores,-5.0,0.304142,-0.229668,-0.328643,0.000000
Large Pores,-5.0,0.295148,-0.231121,-0.330515,0.000000
Large Pores,-5.0,0.286233,-0.232317,-0.332124,0.000000
Large Pores,-5.0,0.277400,-0.233237,-0.333452,0.000000
Large Pores,-5.0,0.268653,-0.233866,-0.334481,0.000000
Large Pores,-5.0,0.259996,-0.234186,-0.335189,0.000000
Large Pores,-5.0,0.251430,-0.234178,-0.335558,0.000000
Large Pores,-5.0,0.242961,-0.233822,-0.335567,0.000000
Large Pores,-5.0,0.234591,-0.233098,-0.335195,0.000000
Large Pores,-5.0,0.226323,-0.231984,-0.334420,0.000000
Large Pores,-5.0,0.218160,-0.230457,-0.333219,0.000000
Large Pores,-5.0,0.210107,-0.228494,-0.331570,0.000000
Large Pores,-5.0,0.202165,-0.226070,-0.329449,0.000000
Large Pores,-5.0,0.194338,-0.223158,-0.326832,0.000000
Large Pores,-5.0,0.186628,-0.219729,-0.323692,0.000000
Large Pores,-5.0,0.179040,-0.215754,-0.320004,0.000000
Large Pores,-5.0,0.171575,-0.211201,-0.315738,0.000000
Large Pores,-5.0,0.164237,-0.206036,-0.310864,0.000000
Large Pores,-5.0,0.157028,-0.200223,-0.305351,0.000000
Large Pores,-5.0,0.149951,-0.193722,-0.299162,0.000000
Large Pores,-5.0,0.143010,-0.186491,-0.292260,0.000000
Large Pores,-5.0,0.136206,-0.178485,-0.284603,0.000000
Large Pores,-5.0,0.129542,-0.169656,-0.276146,0.000000
Large Pores,-5.0,0.123021,-0.159949,-0.266840,0.000000
Large Pores,-5.0,0.116646,-0.149308,-0.256630,0.000000
Large Pores,-5.0,0.110418,-0.137669,-0.245455,0.000000
Large Pores,-5.0,0.104341,-0.124964,-0.233250,0.000000
Large Pores,-5.0,0.098416,-0.111118,-0.219940,0.000000
Large Pores,-5.0,0.092645,-0.096049,-0.205445,0.000000
