alpha_deg,CL_solid,CL_porous,CD_solid,CD_porous,iters,converged
-5.0,-0.23053991028492432,-0.23052568840734325,0.03336060291648189,0.033363358894932006,17,1
-4.0,-0.18480620894438882,-0.1847926880707117,0.029255297237990845,0.029257922656008416,17,1
-3.0,-0.13882319698395523,-0.138810386413501,0.02604915632682298,0.026051666547304897,17,1
-2.0,-0.09265267083442563,-0.09264057909204766,0.023752014039521707,0.023754423240031443,17,1
-1.0,-0.046356882103170786,-0.04634551683620444,0.022370914091994914,0.022373235244363646,17,1
0.0,1.613467223132714e-06,1.2245590938403383e-05,0.021910090525511197,0.021912335383379212,17,1
1.0,0.04636010786198127,0.04637000125442451,0.02237095596485706,0.022373135059153965,17,1
2.0,0.09265589306856108,0.09266504331963225,0.023752097700878973,0.023754220343201467,17,1
3.0,0.13882641335107096,0.13883481732390346,0.026049281608163246,0.02605135590196618,17,1
4.0,0.1848094171132773,0.1848170730362089,0.029255463887100264,0.02925749674657894,17,1
5.0,0.2305431079399311,0.2305500154945922,0.03336081059810852,0.03336280777460829,17,1
6.0,0.27596629440837855,0.27597245481337246,0.038352724934406064,0.0383546910501581,17,1
7.0,0.32101853826580024,0.3210239543554658,0.044215882158480393,0.04421782074742414,17,1
8.0,0.36564030057188657,0.3656449768696571,0.05093227210637329,0.050934185661789234,17,1
9.0,0.40977308541232205,0.40977702819821943,0.058481249143126746,0.05848313917176935,17,1
10.0,0.4533595807951113,0.4533627981669324,0.06683958943228593,0.06684145651467172,17,1
