trial,objective,mean_eff,mean_cd_delta,converged_all,area_mult,r_spine,r_branch_in,r_branch_out
0.0,0.3773817148737266,4.622963656694757,0.00017268578424167505,0.0,35.35389490307465,0.011100090293211337,0.0022967295721285285,0.002866219117613785
1.0,0.0887693466334558,4.912972388504819,0.0008708675691375609,0.0,5.540491389876131,0.010741911204976614,0.0007893517417213307,0.0065486220185576784
2.0,0.4198106119582707,4.580269359079169,3.998551872006854e-05,0.0,94.28391842725952,0.006121740162003256,0.0011927357665368452,0.003085674213298659
3.0,0.3325996770479413,4.667921800427788,0.00026073873786455526,0.0,4.279005776438959,0.005930790936304121,0.0015771349746072927,0.004518140797091748
4.0,0.18365192505335629,4.817615031905276,0.0006334784793160091,0.0,292.39834569107893,0.009602404719169578,0.0018564778153948975,0.008262937874516698
5.0,0.31155962046109686,4.689273129776055,0.00041637511857583326,0.0,3.414646520083772,0.0039958321241340645,0.0018318340660631036,0.0022293429056914234
6.0,-1.846480692170157,6.858163006859719,0.005841157344781127,0.0,1.2257005385662056,0.006533470537277521,0.00149549352813467,0.007480164885436412
7.0,0.3973472072086469,4.602854839561998,0.00010102338532265442,0.0,36.1967625661949,0.006526489507955531,0.0015604438954750176,0.0029562419900935944
8.0,0.3764448378608827,4.623920940612396,0.00018288923663934675,0.0,1.0695848218305921,0.004178184479257099,0.0020452452611019935,0.002770119038154101
9.0,0.35857258509652673,4.642103620761806,0.00033810292916638024,0.0,8.229742548829662,0.003216608580054303,0.0024765042143348156,0.0025984597061379957
10.0,-0.05546460712793445,5.057941241597123,0.0012383172345943848,0.0,4.6012510025665305,0.010843331804040453,0.0015886389010722605,0.006788227980567728
11.0,0.2773821294172203,4.723411368453171,0.000396748935195472,0.0,38.42881487422612,0.00894830108511538,0.0008895828169568999,0.004441423580094353
12.0,-0.045605368579735975,5.048038827440429,0.0012167294303465567,0.0,18.10561991330786,0.010708991057110637,0.0012930138553285619,0.004806886236202534
13.0,0.382096530572091,4.619861077084901,0.0009788038284961654,0.0,1.4020822866253622,0.005476808768815367,0.001226274796064895,0.0025831545879059377
14.0,0.3606864235759783,4.639740051602263,0.00021323758912048657,0.0,105.23700215345607,0.0054150109238067035,0.0030434451920980147,0.004752603058227178
15.0,0.3996348272539377,4.600579155691453,0.00010699147269545989,0.0,31.535353719363965,0.007749295005275816,0.0020015395232415942,0.0025852621214576075
16.0,0.3885621947506512,4.61169151365896,0.00012685420480572246,0.0,12.322812723211056,0.004460482656921857,0.001369079489467606,0.0023985170803253117
17.0,0.42902245582267023,4.57101398946383,1.8222643250005954e-05,0.0,249.70511360053143,0.004311171575373453,0.001988581845857852,0.003181207965396309
18.0,0.21089472611619794,4.790232701074495,0.000563713595346445,0.0,146.2833103494641,0.00801388263743867,0.0009404617986257973,0.006768720603797407
19.0,0.430474798273007,4.56955326310777,1.403069038861717e-05,0.0,219.15490707991847,0.011203716529002185,0.0017262577747857257,0.0025662370337707057
20.0,0.40055552923193094,4.600700740866677,0.0006281350493040327,0.0,2.997473926934938,0.011582568220076986,0.0016851331523369296,0.0026941674523109117
