--- DETAILED CP DISTRIBUTIONS (CAPTURED ANGLES) ---
Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Radius 2.0mm,-5.0,0.446111,-0.186003,-0.193866,0.000000
Radius 2.0mm,-5.0,0.436363,-0.189801,-0.197668,0.000000
Radius 2.0mm,-5.0,0.426638,-0.193513,-0.201387,0.000000
Radius 2.0mm,-5.0,0.416942,-0.197130,-0.205015,0.000000
Radius 2.0mm,-5.0,0.407278,-0.200644,-0.208543,0.000000
Radius 2.0mm,-5.0,0.397650,-0.204047,-0.211963,0.000000
Radius 2.0mm,-5.0,0.388061,-0.207329,-0.215266,0.000000
Radius 2.0mm,-5.0,0.378516,-0.210481,-0.218441,0.000000
Radius 2.0mm,-5.0,0.369017,-0.213493,-0.221480,0.000000
Radius 2.0mm,-5.0,0.359569,-0.216353,-0.224370,0.000000
Radius 2.0mm,-5.0,0.350175,-0.219051,-0.227101,0.000000
Radius 2.0mm,-5.0,0.340838,-0.221575,-0.229661,0.000000
Radius 2.0mm,-5.0,0.331563,-0.223911,-0.232037,0.000000
Radius 2.0mm,-5.0,0.322353,-0.226048,-0.234216,0.000000
Radius 2.0mm,-5.0,0.313212,-0.227972,-0.236185,0.000000
Radius 2.0mm,-5.0,0.304142,-0.229668,-0.237930,0.000000
Radius 2.0mm,-5.0,0.295148,-0.231121,-0.239434,0.000000
Radius 2.0mm,-5.0,0.286233,-0.232317,-0.240684,0.000000
Radius 2.0mm,-5.0,0.277400,-0.233237,-0.241662,0.000000
Radius 2.0mm,-5.0,0.268653,-0.233866,-0.242351,0.000000
Radius 2.0mm,-5.0,0.259996,-0.234186,-0.242733,0.000000
Radius 2.0mm,-5.0,0.251430,-0.234178,-0.242789,0.000000
Radius 2.0mm,-5.0,0.242961,-0.233822,-0.242501,0.000000
Radius 2.0mm,-5.0,0.234591,-0.233098,-0.241847,0.000000
Radius 2.0mm,-5.0,0.226323,-0.231984,-0.240805,0.000000
Radius 2.0mm,-5.0,0.218160,-0.230457,-0.239353,0.000000
Radius 2.0mm,-5.0,0.210107,-0.228494,-0.237466,0.000000
Radius 2.0mm,-5.0,0.202165,-0.226070,-0.235119,0.000000
Radius 2.0mm,-5.0,0.194338,-0.223158,-0.232286,0.000000
Radius 2.0mm,-5.0,0.186628,-0.219729,-0.228938,0.000000
Radius 2.0mm,-5.0,0.179040,-0.215754,-0.225044,0.000000
Radius 2.0mm,-5.0,0.171575,-0.211201,-0.220573,0.000000
Radius 2.0mm,-5.0,0.164237,-0.206036,-0.215490,0.000000
Radius 2.0mm,-5.0,0.157028,-0.200223,-0.209758,0.000000
Radius 2.0mm,-5.0,0.149951,-0.193722,-0.203338,0.000000
Radius 2.0mm,-5.0,0.143010,-0.186491,-0.196187,0.000000
Radius 2.0mm,-5.0,0.136206,-0.178485,-0.188260,0.000000
